molecule_chembl_id,molecule_name,formula,total_assays,median_IC50_uM,Active,Inactive
CHEMBL266168,Platinum complex,C23H21B2F8N5Pt+4,6,27.5,6,0
CHEMBL148734,trans-[ptcl2(4-pic)(pip)],C11H18Cl2N2Pt+2,6,4.5,6,0
CHEMBL148800,trans-ptcl2(picoline)(pz),C10H16Cl2N3Pt+,6,33.0,5,1
CHEMBL267638,Platinum complex,C21H20B2F8N6Pt+4,6,63.5,4,2
CHEMBL267704,"(2,2':6',2''-terpyridine)platinum (II) complex",C20H15B2F9N4Pt+4,6,18.5,4,2
CHEMBL1627740,Platinum complex,C29H42Cl2N2O3Pt,6,29.45,6,0
CHEMBL269100,"4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complex",C22H20B2F8N4OPt+4,6,20.75,6,0
CHEMBL269099,Platinum complex,C21H17B2ClF8N4Pt+4,6,6.375,6,0
CHEMBL262033,Platinum complex,C44H30N12O12Pt2+8,6,1.2149999999999999,6,0
CHEMBL266733,Platinum complex,C22H18B2F8N4OPt+4,6,4.1,6,0
CHEMBL1743600,"Cis-[Pt(1,3-diaminebutane)2] 1,1-cyclobutanedicarboxylate",C14H26N4O4Pt,6,200000.0,0,6
CHEMBL1743594,"Cis-[Pt(1,3-diaminepropane)2(O-Glutarate)2]",C16H28N4O8Pt,6,200000.0,0,6
CHEMBL1743593,"Cis-[Pt(1,3-diaminepropane)2] 1,1-cyclobutanedicarboxylate",C12H22N4O4Pt,6,200000.0,0,6
CHEMBL1743591,"Cis-[Pt(1,3-diaminebutane)2(O-Succinate)2]",C16H28N4O8Pt,6,200000.0,0,6
CHEMBL1743586,"Cis-[Pt(1,3-diaminepropane)2(OH)2] 1,1-cyclobutanedicarboxylate",C14H28N4O6Pt,6,200000.0,0,6
CHEMBL265995,Platinum complex,C40H30N12O12Pt2+8,6,2.575,6,0
CHEMBL385413,Platinum complex,C40H28Cl2N12O12Pt2+8,6,1.085,6,0
CHEMBL414155,Platinum complex,C50H50B4F16N12O2Pt2+8,6,47.0,5,1
CHEMBL405707,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex",C42H32N12O12Pt2+8,6,2.825,6,0
CHEMBL415294,"(2,2':6',2''-terpyridine)platinum (II) complex",C20H16B2F8N4Pt+4,6,21.0,5,1
CHEMBL415807,Platinum complex,C50H40Cl2N18O18Pt3+10,6,1.255,6,0
CHEMBL6811,"(2,2':6',2''-terpyridine)platinum (II) complex",C28H24B2F8N4Pt+4,6,8.05,6,0
CHEMBL6763,"(2,2':6',2''-terpyridine)platinum (II) complex",C20H15B2BrF8N4Pt+4,6,3.95,6,0
CHEMBL6477,"4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complex",C21H19B2F8N5Pt+4,6,19.0,6,0
CHEMBL6513,Platinum complex,C20H15B2F9N4Pt+4,6,18.25,4,2
CHEMBL6614,"(2,2':6',2''-terpyridine)platinum (II) complex",C22H21B2F8N5Pt+4,6,10.25,6,0
CHEMBL6688,Platinum complex,C21H17B2BrF8N4Pt+4,6,24.75,6,0
CHEMBL611723,Platinum complex,C15H16B2F8N3OPt+,6,10.6,6,0
CHEMBL6397,"(2,2':6',2''-terpyridine)platinum (II) complex",C21H18B2F8N4OPt+4,6,15.5,6,0
CHEMBL611447,Pt(II) Complex,C15H42Cl8N6Pt3+4,6,86.5,5,1
CHEMBL1169454,"Platinum cyclobutane-1,1-dicarboxylic acid-bis-(naphthalimide) complex",C36H30N4O8Pt+2,6,0.8,5,1
CHEMBL6757,Platinum complex,C21H18B2F8N4Pt+4,6,15.5,5,1
