molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,IC50_uM,pchembl_value,standard_units
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1.4,5.85,nM
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1.7,5.77,nM
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,0.25,6.60,nM
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3.0,5.52,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,3.2,5.50,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3.6,5.44,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,4.7,5.33,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,2.1,5.68,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1.7,5.77,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1.6,5.80,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,2.8,5.55,nM
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1.4,5.85,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,CH1,In vitro antitumor activity against CH1cisR cell line.,=,4.8,5.32,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,41M,In vitro antitumor activity against 41McisR cell line.,=,4.1,5.39,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,41M,In vitro antitumor activity against 41M cell line.,=,5.3,5.28,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,CH1,In vitro antitumor activity against CH1 cell line.,=,4.7,5.33,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,11.0,4.96,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,A2780,In vitro antitumor activity against A2780 cell line.,=,3.2,5.50,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,14.5,4.84,nM
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,A2780,In vitro antitumor activity against A2780cisR cell line.,=,5.6,5.25,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,6.0,5.22,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,16.6,4.78,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,0.8,6.10,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,3.5,5.46,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1.1,5.96,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1.4,5.85,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,3.2,5.50,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,0.57,6.24,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1.3,5.89,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,1.9,5.72,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,2.0,5.70,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,2.1,5.68,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,4.4,5.36,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,0.42,6.38,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3.0,5.52,nM
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,30.0,4.52,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1.1,5.96,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,0.46,6.34,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3.6,5.44,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,0.38,6.42,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,2.2,5.66,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,3.9,5.41,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,0.78,6.11,nM
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,0.48,6.32,nM
