Molecule,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N)
CHEMBL1743594-conf_5,0.1955121552E+03,0.9775607762E+02,0.9775607762E+02,0.1880992408E+02,0.3674363850E+06,-0.3674551950E+06,-0.3674363850E+06,-0.1469670300E+07,0.9999990106E+00,0.9990062807E+00,0.1615424285E+00,-0.1931672079E+03,-0.1931672079E+03,0.1409803915E+02,0.4906491391E-01,0.7038704927E-01,0.5212616324E+07,-0.5499987934E+02,0.5212561324E+07
CHEMBL1743594-conf_6,0.1955051302E+03,0.9775256512E+02,0.9775256512E+02,0.1881174091E+02,0.3674172627E+06,-0.3674360744E+06,-0.3674172627E+06,-0.1469593804E+07,0.9999990102E+00,0.9990061253E+00,0.1615661403E+00,-0.1931662031E+03,-0.1931662031E+03,0.1409929153E+02,0.4859407791E-01,0.6976383917E-01,0.4171851274E+07,-0.5318478775E+02,0.4171798089E+07
CHEMBL1743594-conf_7,0.1954909143E+03,0.9774545714E+02,0.9774545714E+02,0.1872434786E+02,0.3673812524E+06,-0.3673999767E+06,-0.3673812524E+06,-0.1469450112E+07,0.9999990192E+00,0.9990106182E+00,0.1616141209E+00,-0.1931646730E+03,-0.1931646730E+03,0.1411791774E+02,0.4955569177E-01,0.7052230583E-01,0.3139960226E+07,-0.5276424540E+02,0.3139907461E+07
CHEMBL1743594-conf_8,0.1954921020E+03,0.9774605099E+02,0.9774605099E+02,0.1872393408E+02,0.3673831600E+06,-0.3674018839E+06,-0.3673831600E+06,-0.1469457744E+07,0.9999990192E+00,0.9990106500E+00,0.1616101125E+00,-0.1931647936E+03,-0.1931647936E+03,0.1411703096E+02,0.4953043223E-01,0.7049065813E-01,0.3210014204E+07,-0.5285482354E+02,0.3209961350E+07
CHEMBL1743594-conf_9,0.1954882250E+03,0.9774411252E+02,0.9774411252E+02,0.1875592435E+02,0.3673836322E+06,-0.3674023882E+06,-0.3673836322E+06,-0.1469459505E+07,0.9999990158E+00,0.9990089287E+00,0.1616231969E+00,-0.1931650782E+03,-0.1931650782E+03,0.1411342661E+02,0.4951486817E-01,0.7058445309E-01,0.3384899141E+07,-0.5307901063E+02,0.3384846062E+07
CHEMBL2068442,0.1954583808E+03,0.9772919042E+02,0.9772919042E+02,0.1873954750E+02,0.3673101004E+06,-0.3673288400E+06,-0.3673101004E+06,-0.1469165443E+07,0.9999990170E+00,0.9990095414E+00,-0.5506495384E+00,-0.1931611523E+03,-0.1931611523E+03,0.1389496242E+02,0.5003643231E-01,0.7154074170E-01,0.1825313420E+07,-0.3926596206E+02,0.1825274154E+07
CHEMBL2068442-conf_1,0.1954583920E+03,0.9772919602E+02,0.9772919602E+02,0.1873955392E+02,0.3673101244E+06,-0.3673288640E+06,-0.3673101244E+06,-0.1469165539E+07,0.9999990170E+00,0.9990095412E+00,-0.5506496535E+00,-0.1931611522E+03,-0.1931611522E+03,0.1389496868E+02,0.5003632585E-01,0.7154053875E-01,0.1825285732E+07,-0.3926610522E+02,0.1825246466E+07
CHEMBL2068442-conf_2,0.1954577462E+03,0.9772887312E+02,0.9772887312E+02,0.1874228711E+02,0.3673086358E+06,-0.3673273781E+06,-0.3673086358E+06,-0.1469159574E+07,0.9999990167E+00,0.9990093914E+00,-0.5506430148E+00,-0.1931611601E+03,-0.1931611601E+03,0.1389559986E+02,0.5008152637E-01,0.7160561480E-01,0.1824049177E+07,-0.3930095467E+02,0.1824009876E+07
CHEMBL2068442-conf_3,0.1954528986E+03,0.9772644930E+02,0.9772644930E+02,0.1874173725E+02,0.3673004805E+06,-0.3673192223E+06,-0.3673004805E+06,-0.1469126955E+07,0.9999990167E+00,0.9990093795E+00,-0.5505931821E+00,-0.1931609704E+03,-0.1931609704E+03,0.1389761501E+02,0.4996834456E-01,0.7145486077E-01,0.1787424699E+07,-0.3926964640E+02,0.1787385430E+07
CHEMBL611190,0.1954650620E+03,0.9773253102E+02,0.9773253102E+02,0.1871008862E+02,0.3673144903E+06,-0.3673332004E+06,-0.3673144903E+06,-0.1469183121E+07,0.9999990202E+00,0.9990111532E+00,-0.8792413829E+00,-0.1931625774E+03,-0.1931625774E+03,0.1400120974E+02,0.5034454583E-01,0.7172030790E-01,0.2224267604E+07,-0.3854016422E+02,0.2224229064E+07
