Molecule,4(N)_q(N)_Hirshfeld,4(N)_q(N+1)_Hirshfeld,4(N)_q(N-1)_Hirshfeld,4(N)_f-_Hirshfeld,4(N)_f+_Hirshfeld,4(N)_CDD_Hirshfeld,4(N)_f0_Hirshfeld,4(N)_f+f-_Hirshfeld,4(N)_q(N)/f+_Hirshfeld,4(N)_q(N)/CDD_Hirshfeld,4(N)_q(N)/f-_Hirshfeld,4(N)_q(N+1)/f+_Hirshfeld,4(N)_q(N+1)/CDD_Hirshfeld,4(N)_q(N+1)/f-_Hirshfeld,4(N)_q(N-1)/f+_Hirshfeld,4(N)_q(N-1)/CDD_Hirshfeld,4(N)_q(N-1)/f-_Hirshfeld
CHEMBL1743594-conf_5,-0.0654722344,-0.0850668695,-0.0629709672,0.0025012671999999,0.0195946351,0.0170933679,0.0110479511499999,4.901141807159855e-05,-3.341334710540232,-3.830271177864248,-26.17562585876481,-4.341334710540232,-4.976600866351207,-34.009509060047776,-3.213684096622957,-3.683941489377289,-25.17562585876481
CHEMBL1743594-conf_6,-0.0742800613,-0.0955767033,-0.0623248883,0.011955173,0.0212966419999999,0.0093414689999999,0.0166259075,0.000254605039429,-3.487876694363367,-7.951646716378348,-6.213215091073962,-4.487876694363367,-10.231442538641424,-7.994589731156542,-2.9265124661437247,-6.6718508941152725,-5.213215091073962
CHEMBL1743594-conf_7,-0.0553485646,-0.11253653,-0.0538303331,0.0015182314999999,0.0571879654,0.0556697339,0.0293530984499999,8.682457049118979e-05,-0.9678358761824388,-0.994230809499163,-36.45594535484226,-1.9678358761824388,-2.0215029265659914,-74.12343242779536,-0.9412877818520888,-0.9669586924323345,-35.45594535484226
CHEMBL1743594-conf_8,-0.0554749793,-0.1117613698,-0.0544686339,0.0010063453999999,0.0562863905,0.0552800451,0.0286463679499999,5.664355016227854e-05,-0.9855842381649964,-1.0035263032012252,-55.12518793249331,-1.9855842381649969,-2.0217307999265723,-111.05667080109902,-0.9677052199678712,-0.985321806475878,-54.12518793249331
CHEMBL1743594-conf_9,-0.0655876741,-0.0776627313,-0.0679209686,0.0023332944999999,0.0120750571999999,0.0097417626999999,0.0072041758499999,2.8174664551945365e-05,-5.43166570672643,-6.73262900357859,-28.10947100762464,-6.43166570672643,-7.972143614214713,-33.28458165053748,-5.6248982903368825,-6.972143614214713,-29.10947100762464
CHEMBL2068442,-0.0816771349,-0.0949596716,-0.0662484341,0.0154287008,0.0132825367,-0.0021461641,0.01435561875,0.0002049322846093,-6.149212062783159,-38.05726454002282,-5.293843983286007,-7.149212062783159,-44.24623056550056,-6.154741920978855,-4.987634184364799,-30.868298514545085,-4.293843983286007
CHEMBL2068442-conf_1,-0.0816725794,-0.0949472312,-0.0662484176,0.0154241618,0.0132746517999999,-0.00214951,0.0143494067999999,0.0002047503772018,-6.152521409262127,-37.99590576456947,-5.295106499725644,-7.152521409262127,-44.17156989267306,-6.155746576776703,-4.990595504734823,-30.82024163646588,-4.295106499725644
CHEMBL2068442-conf_2,-0.0813732108,-0.0948555361,-0.0657654212,0.0156077896,0.0134823253,-0.0021254643,0.01454505745,0.0002104292966011,-6.0355472063858295,-38.284910642818055,-5.213628123228927,-7.0355472063858295,-44.628148353279705,-6.077448410760225,-4.877899007525059,-30.941672932356404,-4.213628123228927
CHEMBL2068442-conf_3,-0.0799567838,-0.0925681102,-0.0651741045,0.0147826793,0.0126113263999999,-0.0021713529,0.01369700285,0.0001864291937188,-6.34007726578229,-36.82348631583552,-5.408815423601862,-7.34007726578229,-42.631536402949386,-6.261930487797295,-5.167902442046065,-30.015436228721644,-4.408815423601862
CHEMBL611190,-0.0754089491,-0.0998350285,-0.0631600605,0.0122488885999999,0.0244260794,0.0121771908,0.018337484,0.0002991923255053,-3.087230982308195,-6.192639200496054,-6.156391127599939,-4.087230982308196,-8.198527077361708,-8.150537714907461,-2.585763333758752,-5.1867513236304,-5.156391127599939
CHEMBL611190-conf_1,-0.0750500369,-0.0994242073,-0.063740098,0.0113099389,0.0243741703999999,0.0130642314999999,0.01784205465,0.0002756703779621,-3.0790806689363275,-5.74469588203486,-6.635759712194372,-4.079080668936327,-7.610413769841735,-8.79087041752276,-2.6150673829702944,-4.878977994227987,-5.635759712194372
CHEMBL611190-conf_10,-0.0727025862,-0.0943277431,-0.0621577303,0.0105448559,0.0216251568999999,0.0110803009999999,0.0160850064,0.0002280341633253,-3.361944911484088,-6.561427004555205,-6.894602153833128,-4.361944911484088,-8.513102947293584,-8.94538000277462,-2.8743250551860737,-5.609751061816826,-5.894602153833128
CHEMBL611190-conf_2,-0.0727136702,-0.0955412991,-0.0615468942,0.0111667759999999,0.0228276289,0.0116608529,0.01699720245,0.0002549110185374,-3.185336090687893,-6.235707698533777,-6.51160820276148,-4.185336090687893,-8.19333713574244,-8.555853462091479,-2.696157996505716,-5.278078261325116,-5.51160820276148
