Molecule,Density of all electrons_N+1_4(N),Density of Alpha electrons_N+1_4(N),Density of Beta electrons_N+1_4(N),Lagrangian kinetic energy G(r)_N+1_4(N),Hamiltonian kinetic energy K(r)_N+1_4(N),Potential energy density V(r)_N+1_4(N),Energy density E(r) or H(r)_N+1_4(N),Laplacian of electron density_N+1_4(N),Electron localization function (ELF)_N+1_4(N),Localized orbital locator (LOL)_N+1_4(N),Local information entropy_N+1_4(N),Sign(lambda2)*rho_N+1_4(N),Sign(lambda2)*rho with promolecular approximation_N+1_4(N),Average local ionization energy (ALIE)_N+1_4(N),Delta-g (under promolecular approximation)_N+1_4(N),Delta-g (under Hirshfeld partition)_N+1_4(N),ESP from nuclear charges_N+1_4(N),ESP from electrons_N+1_4(N),Total ESP_N+1_4(N)
oxaliplatin-conf_1,0.1955402459E+03,0.9780787217E+02,0.9773237371E+02,0.1870721059E+02,0.3674839532E+06,-0.3675026604E+06,-0.3674839532E+06,-0.1469860984E+07,0.9999990218E+00,0.9990119381E+00,-0.6644967699E+00,-0.1931617839E+03,-0.1931617839E+03,0.1376320740E+02,0.4951727919E-01,0.7090361485E-01,0.1984333424E+07,-0.3948248948E+02,0.1984293941E+07
oxaliplatin-conf_2,0.1955529658E+03,0.9781868762E+02,0.9773427821E+02,0.1868598735E+02,0.3675047334E+06,-0.3675234194E+06,-0.3675047334E+06,-0.1469944190E+07,0.9999990242E+00,0.9990131648E+00,-0.6646401561E+00,-0.1931617495E+03,-0.1931617495E+03,0.1376154222E+02,0.4945241540E-01,0.7083199364E-01,0.1973299287E+07,-0.3949784368E+02,0.1973259789E+07
oxaliplatin-conf_3,0.1955815736E+03,0.9784608179E+02,0.9773549183E+02,0.1864380340E+02,0.3675580310E+06,-0.3675766748E+06,-0.3675580310E+06,-0.1470157549E+07,0.9999990291E+00,0.9990156303E+00,-0.6649626622E+00,-0.1931617693E+03,-0.1931617693E+03,0.1375908341E+02,0.4957412325E-01,0.7087552553E-01,0.2019757477E+07,-0.4020314331E+02,0.2019717274E+07
picoplatin,0.1956256540E+03,0.9783801050E+02,0.9778764347E+02,0.1881761459E+02,0.3677029925E+06,-0.3677218101E+06,-0.3677029925E+06,-0.1470736699E+07,0.9999990117E+00,0.9990068350E+00,-0.9501089383E+00,-0.1931631906E+03,-0.1931631906E+03,0.1368324275E+02,0.5247625447E-01,0.7843452803E-01,0.2013123929E+07,-0.4069249627E+02,0.2013083236E+07
picoplatin-conf_1,0.1956256579E+03,0.9783801373E+02,0.9778764419E+02,0.1881752021E+02,0.3677029957E+06,-0.3677218132E+06,-0.3677029957E+06,-0.1470736713E+07,0.9999990117E+00,0.9990068400E+00,-0.9501089922E+00,-0.1931631893E+03,-0.1931631893E+03,0.1368323721E+02,0.5247414462E-01,0.7843136878E-01,0.2013055525E+07,-0.4069244871E+02,0.2013014833E+07
picoplatin-conf_2,0.1956257581E+03,0.9783805574E+02,0.9778770239E+02,0.1881718385E+02,0.3677031746E+06,-0.3677219918E+06,-0.3677031746E+06,-0.1470737430E+07,0.9999990117E+00,0.9990068586E+00,-0.9501103659E+00,-0.1931631856E+03,-0.1931631856E+03,0.1368323819E+02,0.5247492036E-01,0.7843269166E-01,0.2012373945E+07,-0.4069208322E+02,0.2012333253E+07
satraplatin,0.1956495284E+03,0.9791887305E+02,0.9773065540E+02,0.1868767050E+02,0.3676898836E+06,-0.3677085712E+06,-0.3676898836E+06,-0.1470684784E+07,0.9999990257E+00,0.9990138873E+00,-0.8412703505E-01,-0.1931574278E+03,-0.1931574278E+03,0.1370583912E+02,0.5002139819E-01,0.7186346392E-01,0.1314174525E+07,-0.4789132296E+02,0.1314126633E+07
satraplatin-conf_1,0.1955793346E+03,0.9786197747E+02,0.9771735714E+02,0.1876036827E+02,0.3675645746E+06,-0.3675833349E+06,-0.3675645746E+06,-0.1470183257E+07,0.9999990169E+00,0.9990094632E+00,-0.8370911079E-01,-0.1931601728E+03,-0.1931601728E+03,0.1369365981E+02,0.4866637172E-01,0.6989155757E-01,0.1724780378E+07,-0.4966591175E+02,0.1724730712E+07
satraplatin-conf_10,0.1956456265E+03,0.9792458701E+02,0.9772103951E+02,0.1867038626E+02,0.3676807001E+06,-0.3676993705E+06,-0.3676807001E+06,-0.1470648119E+07,0.9999990275E+00,0.9990147659E+00,-0.8410379989E-01,-0.1931573489E+03,-0.1931573489E+03,0.1370045267E+02,0.5038992245E-01,0.7222933941E-01,0.1319864558E+07,-0.4842254564E+02,0.1319816136E+07
satraplatin-conf_2,,,,,,,,,,,,,,,,,,,
