Name,CCDC,Type,PubChem_ID,Metal_Or_Radioisotope,URL_PubChem_2D,Status,Content type,RDKit_Mol,Number of aliphatic atoms,Number of aromatic atoms,Number of heteroatoms in aromatic rings,Number of carbons,Total number of atoms,Number of hydrogens,Number of heteroatoms,NumAmideBonds,NumStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,FractionCSP3,Molecular Formula
Aurothioglucose,,Metallodrug,454937,Au,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/454937/record/SDF?record_type=2d&response_type=display,200,text/plain,[Au+].[S-]C1(O[C@@]([C@@](O[H])([C@](O[H])([C@]1(O[H])[H])[H])[H])(C(O[H])([H])[H])[H])[H],24,0,0,6,24,11,7,0,5,1,0,1,1,1,C6H11AuO5S
Sodium nitroprusside,,Metallodrug,11953895,Fe,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/11953895/record/SDF?record_type=2d&response_type=display,200,text/plain,[Fe+4].[Na+].[Na+].O=[N-],5,0,0,0,5,0,5,0,0,0,0,0,0,0,FeNNa2O
Ferroquine,,Metallodrug,140118553,Fe,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/140118553/record/SDF?record_type=2d&response_type=display,200,text/plain,[Fe+2].Clc1c(c2nc(c(c(N(C([c-]3c(C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])c(c(c3[H])[H])[H])([H])[H])[H])c2c(c1[H])[H])[H])[H])[H].[c-]1(c(c(c(c1[H])[H])[H])[H])[H],32,20,1,23,52,24,5,0,0,4,4,0,0,0.173913043478261,C23H24ClFeN3
Zirconium cyclosilicate,,Metallodrug,155804812,Si,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/155804812/record/SDF?record_type=2d&response_type=display,200,text/plain,[Zr+4].[Si]1(O[Si](O[Si](O1)([O-])[O-])([O-])[O-])([O-])[O-].[Na+].[Na+],15,0,0,0,15,0,15,0,0,1,0,1,1,0,Na2O9Si3Zr
Bismuth subcitrate,,Metallodrug,10101269,Bi,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/10101269/record/SDF?record_type=2d&response_type=display,200,text/plain,[Bi+3].[K+].[K+].[K+].O(C(C(C([O-])=O)([H])[H])(C(C([O-])=O)([H])[H])C([O-])=O)[H].O(C(C(C([O-])=O)([H])[H])(C(C([O-])=O)([H])[H])C([O-])=O)[H],40,0,0,12,40,10,18,0,0,0,0,0,0,0.5,C12H10BiK3O14
Silver sulfadiazine,,Metallodrug,441244,Ag,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/441244/record/SDF?record_type=2d&response_type=display,200,text/plain,[Ag+].S(=O)(=O)([N-]c1nc(c(c(n1)[H])[H])[H])c2c(c(c(N([H])[H])c(c2[H])[H])[H])[H],15,12,2,10,27,9,8,0,0,2,2,0,0,0,C10H9AgN4O2S
Lutathera,,Radiotherapy metallodrug,76966897,177Lu,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/76966897/record/SDF?record_type=2d&response_type=display,200,text/plain,[177Lu+3].S1SC([C@](N(C(=O)[C@@](N(C(=O)[C@@](N(C(=O)[C@](N(C(=O)[C@@](N(C(=O)[C@@](N(C(=O)[C@](N(C(=O)C(N2C(C(N(C(C(N(C(C(N(C(C2([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])C(C([O-])=O)([H])[H])([H])[H])([H])[H])([H])[H])[H])(C(c3c(c(c(c(c3[H])[H])[H])[H])[H])([H])[H])[H])[H])(C1([H])[H])[H])[H])(C(c4c(c(c(O[H])c(c4[H])[H])[H])[H])([H])[H])[H])[H])(C(c5c6c(n(c5[H])[H])c(c(c(c6[H])[H])[H])[H])([H])[H])[H])[H])(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([C@](O[H])(C([H])([H])[H])[H])[H])[H])(C(=O)N([C@@]([C@](O[H])(C([H])([H])[H])[H])(C(O[H])=O)[H])[H])[H])([H])[H],167,21,1,65,188,87,36,8,10,6,4,2,2,0.507692307692308,C65H87LuN14O19S2
Rhenium-186 HEDP,,Radiotherapy metallodrug,121982,186Re,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/121982/record/SDF?record_type=2d&response_type=display,200,text/plain,[186Re],1,0,0,0,1,0,1,0,0,0,0,0,0,0,Re
Samarium-153 lexidronam,,Radiotherapy metallodrug,118987134,153Sm,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/118987134/record/SDF?record_type=2d&response_type=display,200,text/plain,[153Sm+3].P([O-])([O-])(=O)C(N(C(C(N(C(P([O-])([O-])=O)([H])[H])C(P([O-])([O-])=O)([H])[H])([H])[H])([H])[H])C(P([O-])([O-])=O)([H])[H])([H])[H],37,0,0,6,37,12,19,0,0,0,0,0,0,1,C6H12N2O12P4Sm
67 Cu SARTATE,,Radiotherapy metallodrug,139593442,67Cu,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/139593442/record/SDF?record_type=2d&response_type=display,200,text/plain,[67Cu+2],1,0,0,0,1,0,1,0,0,0,0,0,0,0,Cu
